"Tumor_T3" "Tumor_T4" "Tumor_T5" "HT1376_1" "HT1376_2" "RT4_1" "RT4_2" "SCABER_1" "SCABER_2" "SW780_1" "SW780_2" "Tumor_T1"
"ENSG00000005175.5" 9.09 6.05 7.43 15.16 38.38 40.33 52.31 30.66 52.97 16.45 10.92 7.14
"ENSG00000005187.7" 2.84 0.68 0.35 0 0.62 1.75 7.15 0.42 0.57 1.79 2.86 3
"ENSG00000005189.15" 1.08 0.71 1.44 4.73 1.72 1.76 3.29 3.9 6.68 1.17 0.71 2.86
"ENSG00000005194.10" 8.94 6.38 6.79 47.92 28.76 44.48 40.01 70.83 77.15 29.92 21.53 14.04
"ENSG00000005206.12" 6.75 7.85 6.97 1.67 1.24 45.61 30.7 39.06 26.64 4.64 8.25 5.54
"ENSG00000005238.15" 4.89 3.2 4.1 2.9 2.29 1.67 2.72 5.56 6.09 2.89 3.63 1.25
"ENSG00000005243.5" 9.42 3.83 3.96 0.22 0.44 0.16 0.16 25.3 22.72 0 0 0
"ENSG00000005249.8" 12.46 2.03 1.24 16.33 13.23 0.13 0.37 0.38 0.1 0.02 0.02 1.01
"ENSG00000005302.13" 12.31 9.27 9.26 8.62 22.01 34.78 53.09 12.49 15.17 6.17 4.56 12.88
"ENSG00000005339.8" 15.07 13.02 11.12 0.99 1.63 19.34 34.54 44.54 96.76 1.13 1.72 17.1
"ENSG00000005379.11" 3.72 2.17 2.48 0 0 0.68 0.42 4.88 1.39 0 0 2.08
"ENSG00000005381.6" 0.09 0.04 0.08 0.02 0 0 0 0 0 0.02 0 0
"ENSG00000005421.4" 0.09 0 0 0 0 0.02 0.33 0 0 0 0 1.74
"ENSG00000005436.9" 6.57 3.19 4.46 11.8 11.75 16.6 21.21 11.66 16.34 4.81 6.32 3.73
"ENSG00000005448.12" 3.85 1.09 4.07 100.15 73.04 12 12.67 25.47 21.15 157.31 111.27 7.08
"ENSG00000005469.7" 18.79 6.99 6.43 7.9 6.92 21.74 59.84 13.91 20 17.32 14.54 12.42
"ENSG00000005471.11" 1.59 0.27 0.41 0 0.02 0.14 0.55 0.01 0.12 0 0 0.6
"ENSG00000005483.15" 52.16 23.56 26.23 5.39 20.52 35.2 48.24 33.24 67.54 10.16 14.54 13.04
"ENSG00000005486.12" 8.83 9.13 7.58 44.98 33.11 69.22 50.62 42.44 37.82 32.2 45.48 5.07
"ENSG00000005513.9" 0.28 0.02 0.01 0 0 0 0 0.01 0 0 0 0.02
"ENSG00000005700.10" 15.41 6.27 9.06 7.44 5.77 32.2 39.9 14.93 29.17 5.6 6.64 3.58
"ENSG00000005801.12" 13.11 5.6 11.91 1.83 1.11 64.29 100.86 14.62 25.62 5.26 5.47 12.76
"ENSG00000005810.13" 43.15 36.44 38.57 28.43 120.47 34.33 27.39 45.78 32.66 10.52 22.4 17.02
"ENSG00000005812.6" 21.57 7 15.51 36.36 20.16 19.42 14.65 25.7 27.09 4.64 3.52 9.2
"ENSG00000005844.13" 7.29 9.26 10.03 0.43 0.03 0.77 0.23 0 0.02 0.12 0.08 0.67
"ENSG00000005882.7" 5.67 3.52 2.81 12.25 7.83 23.21 21.04 29.58 17.53 9.45 8.42 5.83
"ENSG00000005884.13" 34.28 27.94 97.25 35.42 34.26 611.84 502.35 597.98 482.08 196.59 407.1 74.54
"ENSG00000005889.11" 13.75 8.63 8.76 1.75 3.55 14.62 21.3 6.81 12.54 4.24 4.51 4.13
"ENSG00000005893.11" 35.89 19.9 49.11 32.51 22.03 56.69 71.59 169.83 227.04 26.76 18.84 2.78
